Stock1,Stock2
YKBNK.csv,KCAER.csv
YKBNK.csv,GWIND.csv
YKBNK.csv,ASTOR.csv
YKBNK.csv,ANSGR.csv
YKBNK.csv,ISMEN.csv
YKBNK.csv,KAYSE.csv
YKBNK.csv,ASELS.csv
YKBNK.csv,DOHOL.csv
YKBNK.csv,KCHOL.csv
YKBNK.csv,ENKAI.csv
YKBNK.csv,BERA.csv
YKBNK.csv,AGROT.csv
YKBNK.csv,BINHO.csv
YKBNK.csv,MAVI.csv
YKBNK.csv,HALKB.csv
YKBNK.csv,ALBRK.csv
YKBNK.csv,ARDYZ.csv
YKBNK.csv,KMPUR.csv
YKBNK.csv,TTKOM.csv
YKBNK.csv,OTKAR.csv
YKBNK.csv,EUPWR.csv
YKBNK.csv,SOKM.csv
YKBNK.csv,ALARK.csv
YKBNK.csv,KORDS.csv
YKBNK.csv,TTRAK.csv
YKBNK.csv,CCOLA.csv
YKBNK.csv,YEOTK.csv
GUBRF.csv,ENJSA.csv
GUBRF.csv,BOBET.csv
GUBRF.csv,BRSAN.csv
GUBRF.csv,TURSG.csv
GUBRF.csv,AKSA.csv
GUBRF.csv,VAKBN.csv
GUBRF.csv,BIMAS.csv
GUBRF.csv,ECILC.csv
GUBRF.csv,VESTL.csv
GUBRF.csv,EGEEN.csv
GUBRF.csv,SISE.csv
GUBRF.csv,EREGL.csv
GUBRF.csv,VESBE.csv
GUBRF.csv,PETKM.csv
GUBRF.csv,AKFGY.csv
GUBRF.csv,AKSEN.csv
GUBRF.csv,GARAN.csv
GUBRF.csv,AKFYE.csv
GUBRF.csv,TKFEN.csv
GUBRF.csv,ALFAS.csv
GUBRF.csv,CANTE.csv
GUBRF.csv,KLSER.csv
GUBRF.csv,ARCLK.csv
GUBRF.csv,MGROS.csv
GUBRF.csv,ODAS.csv
GUBRF.csv,SASA.csv
GUBRF.csv,KRDMD.csv
GUBRF.csv,AHGAZ.csv
GUBRF.csv,TOASO.csv
GUBRF.csv,AGESA.csv
GUBRF.csv,CWENE.csv
GUBRF.csv,AKBNK.csv
GUBRF.csv,AKCNS.csv
GUBRF.csv,EKGYO.csv
GUBRF.csv,ISGYO.csv
GUBRF.csv,THYAO.csv
GUBRF.csv,PGSUS.csv
GUBRF.csv,GOKNR.csv
GUBRF.csv,TSKB.csv
GUBRF.csv,ENTRA.csv
GUBRF.csv,BRYAT.csv
GUBRF.csv,DOAS.csv
GUBRF.csv,A1CAP.csv
GUBRF.csv,TAVHL.csv
GUBRF.csv,AEFES.csv
GUBRF.csv,SKBNK.csv
GUBRF.csv,SAHOL.csv
GUBRF.csv,CIMSA.csv
GUBRF.csv,ISCTR.csv
GUBRF.csv,BIOEN.csv
GUBRF.csv,ULKER.csv
GUBRF.csv,HEKTS.csv
GUBRF.csv,OYAKC.csv
GUBRF.csv,TUPRS.csv
GUBRF.csv,KONTR.csv
GUBRF.csv,BUCIM.csv
GUBRF.csv,OBAMS.csv
GUBRF.csv,FROTO.csv
GUBRF.csv,YYLGD.csv
GUBRF.csv,KZGYO.csv
GUBRF.csv,AFYON.csv
GUBRF.csv,KCAER.csv
GUBRF.csv,GWIND.csv
GUBRF.csv,ASTOR.csv
GUBRF.csv,ANSGR.csv
GUBRF.csv,ISMEN.csv
GUBRF.csv,KAYSE.csv
GUBRF.csv,ASELS.csv
GUBRF.csv,DOHOL.csv
GUBRF.csv,KCHOL.csv
GUBRF.csv,ENKAI.csv
GUBRF.csv,BERA.csv
GUBRF.csv,AGROT.csv
GUBRF.csv,BINHO.csv
GUBRF.csv,MAVI.csv
GUBRF.csv,HALKB.csv
GUBRF.csv,ALBRK.csv
GUBRF.csv,ARDYZ.csv
GUBRF.csv,KMPUR.csv
GUBRF.csv,TTKOM.csv
GUBRF.csv,OTKAR.csv
GUBRF.csv,EUPWR.csv
GUBRF.csv,SOKM.csv
GUBRF.csv,ALARK.csv
GUBRF.csv,KORDS.csv
GUBRF.csv,TTRAK.csv
GUBRF.csv,CCOLA.csv
GUBRF.csv,YEOTK.csv
ENJSA.csv,BOBET.csv
ENJSA.csv,BRSAN.csv
ENJSA.csv,TURSG.csv
ENJSA.csv,AKSA.csv
ENJSA.csv,VAKBN.csv
ENJSA.csv,BIMAS.csv
ENJSA.csv,ECILC.csv
ENJSA.csv,VESTL.csv
ENJSA.csv,EGEEN.csv
ENJSA.csv,SISE.csv
ENJSA.csv,EREGL.csv
ENJSA.csv,VESBE.csv
ENJSA.csv,PETKM.csv
ENJSA.csv,AKFGY.csv
ENJSA.csv,AKSEN.csv
ENJSA.csv,GARAN.csv
ENJSA.csv,AKFYE.csv
ENJSA.csv,TKFEN.csv
ENJSA.csv,ALFAS.csv
ENJSA.csv,CANTE.csv
ENJSA.csv,KLSER.csv
ENJSA.csv,ARCLK.csv
ENJSA.csv,MGROS.csv
ENJSA.csv,ODAS.csv
ENJSA.csv,SASA.csv
